Fecha,Resultado,Federal,U de G,Privado,Rapidas,
02/08/2020,Confirmados,"13,506","5,438","7,971","3,892",
02/08/2020,Descartados,"24,036","15,276","16,113","24,560",
02/08/2020,Sospechosos,"2,996",236,Na,Na,
03/08/2020,Confirmados,"13,664","5,628","8,199","4,035",
03/08/2020,Descartados,"24,198","16,328","16,240","24,893",
03/08/2020,Sospechosos,"2,907",236,Na,Na,
04/08/2020,Confirmados,"13,876","5,719","8,415","4,228",
04/08/2020,Descartados,"24,321","16,652","16,671","25,397",
04/08/2020,Sospechosos,"3,110",279,Na,Na,
05/08/2020,Confirmados,"14,096","5,888","8,657","4,386",
05/08/2020,Descartados,"24,498","16,936","17,316","25,710",
05/08/2020,Sospechosos,"3,237",230,Na,Na,
06/08/2020,Confirmados,"14,352","6,012","8,835","4,618",
06/08/2020,Descartados,"24,709","17,161","17,940","26,368",
06/08/2020,Sospechosos,"3,304",278,Na,Na,
07/08/2020,Confirmados,"14,550","6,168","9,067","4,744",
07/08/2020,Descartados,"24,895","17,416","18,359","26,638",
07/08/2020,Sospechosos,"3,399",259,Na,Na,
08/08/2020,Confirmados,"14,847","6,324","9,261","4,828",
08/08/2020,Descartados,"25,153","17,633","19,068","26,893",
08/08/2020,Sospechosos,"3,305",254,Na,Na,
09/08/2020,Confirmados,"15,032","6,509","9,271","4,922",
09/08/2020,Descartados,"25,308","18,182","19,127","21,173",
09/08/2020,Sospechosos,"3,195",214,Na,Na,
10/08/2020,Confirmados,"15,402","6,620","9,393","5,051",
10/08/2020,Descartados,"25,637","18,740","19,369","27,504",
10/08/2020,Sospechosos,"2,772",214,Na,Na,
11/08/2020,Confirmados,"15,681","6,803","9,522","5,226",
11/08/2020,Descartados,"25,832","19,403","19,657","27,988",
11/08/2020,Sospechosos,"2,933",179,Na,Na,
12/08/2020,Confirmados,"15,852","6,958","9,782","5,425",
12/08/2020,Descartados,"25,969","19,619","20,364","28,667",
12/08/2020,Sospechosos,"3,135",203,Na,Na,
13/08/2020,Confirmados,"15,934","7,135","10,182","5,565",
13/08/2020,Descartados,"26,074","19,851","21,251","29,032",
13/08/2020,Sospechosos,"3,448",212,Na,Na,
14/08/2020,Confirmados,"16,030","7,216","10,389","5,755",
14/08/2020,Descartados,"26,226","20,044","21,689","29,539",
14/08/2020,Sospechosos,"3,657",302,Na,Na,
15/08/2020,Confirmados,"16,223","7,325","10,783","5,755",
15/08/2020,Descartados,"26,472","20,287","22,392","29,539",
15/08/2020,Sospechosos,"3,625",302,Na,Na,
16/08/2020,Confirmados,"16,381","7,378","11,038","5,790",
16/08/2020,Descartados,"26,641","20,535","22,978","29,637",
16/08/2020,Sospechosos,"3,471",191,Na,Na,
17/08/2020,Confirmados,"16,593","7,393","11,284","5,927",
17/08/2020,Descartados,"26,848","20,555","23,597","29,938",
17/08/2020,Sospechosos,"3,262",169,Na,Na,
18/08/2020,Confirmados,"16,847","7,475","11,466","6,111",
18/08/2020,Descartados,"27,052","20,752","23,976","30,351",
18/08/2020,Sospechosos,"3,445",233,Na,Na,
19/08/2020,Confirmados,"17,056","7,585","11,706","6,324",
19/08/2020,Descartados,"27,223","21,048","24,646","30,926",
